Initial query,ONS Response title,NLP response title,Score,Legend
Hate crimes ,CSEW number of hate crime incidents in England,CSEW number of hate crime incidents in England,0,
Business trade characteristics,UK services trade by business characteristics,UK services trade by business characteristics,0,
UK import and export,Trends in UK imports and exports of fuels,Trends in UK imports and exports of fuels,0,
UK living wage,"Employees below the UK living wage, South Lanarkshire, 2014 to 2016",Children living in long-term workless households in the UK,1,
House market trends ,Recent trends in the housing market,Recent trends in the housing market,0,
Marriages and civil unions ,Marriages in England and Wales,Marriages in England and Wales,0,
Number of children in education,Number of bedrooms by tenure by age of dependent children,The education background of looked-after children who interact with the criminal justice system,not relevant,
Impact of covid-19 on tourism ,Business Impact of COVID-19 Survey (BICS),"Business Impact of Coronavirus (COVID-19) Survey, expectation responses over time, UK",same,
Household expenditure,Definition of household expenditure,Definition of household expenditure,0,
London suicide rates ,Quarterly suicide death registrations in England,Quarterly suicide death registrations in England,0,
Family size over time ,We’re all on the internet on a Wednesday but possibly ditching it over Christmas for quality time with the family,We’re all on the internet on a Wednesday but possibly ditching it over Christmas for quality time with the family,0,
Family size in UK ,"Average family size, UK and constituent countries, 2015","Average family size, UK and constituent countries, 2015",0,
Violence against women,Violence against women and girls: Data landscape,Violence against women and girls: Data landscape,0,
Registered voters in UK,Deaths registered in England and Wales,"Electoral statistics, UK",2,
Electoral statistics,"Electoral statistics, UK","Electoral statistics, UK",0,
Housing prices in UK ,"Index of Private Housing Rental Prices, UK","Housing Purchase Affordability, UK",both miss,
Rental prices in UK ,"Index of Private Housing Rental Prices, UK","Real-time database for UK GDP at market prices, current prices, £ million",1,
Redundancies,HR1: Potential redundancies,"RED02: Redundancies by age, industry and region",Maybe 2,
Graduates in UK ,Graduates in the UK Labour Market,Time Use in the UK,1,
Infant mortality rate ,"Infant mortality rates for Newham local authority, 2006 to 2013","Infant mortality rates for Newham local authority, 2006 to 2013",0,
Mortality rates,"Mortality Rates (qx), principal projection, England","Mortality Rates (qx), principal projection, England",0,
Stillbirths ,Impact of the implementation of IRIS software for ICD-10 cause of death coding on stillbirth and neonatal death statistics,Impact of the implementation of IRIS software for ICD-10 cause of death coding on stillbirth and neonatal death statistics,0,
Cost of living in UK,"Inflation and the cost of living for UK households, overview",Impact of increased cost of living on adults across Great Britain,1,
Homophobic,Homophobic attacks 2017 to 2019,Homophobic attacks 2017 to 2019,0,
buildings built in london 2021,"GDP, London","Towns and cities, characteristics of built-up areas, England and Wales: Census 2021",2,
Heart failure statistics 2021,"Ischaemic heart diseases deaths including comorbidities, England and Wales","Cancer registration statistics, England",1,
racism 2021,"Construction output in Great Britain: March 2021, new orders and Construction Output Price Indices, January to March 2021","Disability in England and Wales, 2021",total miss on both sides,
Poverty in the north of england,"Estimating the number of people with cardiovascular or respiratory conditions living in poverty, England","Research Outputs: Small area estimation of fuel poverty in England, 2013 to 2017",both miss,
Miscarriages in 2021,"Construction output in Great Britain: March 2021, new orders and Construction Output Price Indices, January to March 2021","COVID-19 vaccine effectiveness estimated using Census 2021 variables, England",both miss,
Children in foster care ,Who are the children entering care in England?,Who are the children entering care in England?,0,
Number of children adopted 2021,Number of bedrooms by tenure by age of dependent children,"Average number of dependent children per family in England and Wales, 2020 and 2021",not sure?,
Abortion statistics 2021,"Electoral statistics, UK","Cancer registration statistics, England",both miss,
Abortions in England,"Number of deaths involving abortion, England and Wales, deaths registered between 2015 and 2019","Number of deaths involving abortion, England and Wales, deaths registered between 2015 and 2019",0,
Abortions in Scotland,Scotland natural capital accounts,National life tables: Scotland,both miss,
Abortions in Wales,"Number of deaths involving abortion, England and Wales, deaths registered between 2015 and 2019","Number of deaths involving abortion, England and Wales, deaths registered between 2015 and 2019",0,
Overdoses in London 2021,"GDP, London",Coronavirus (COVID-19) mortality and long-term outdoor air pollution in London,both miss,
Overdoses ,"Drug-related deaths ""deep dive"" into coroners’ records","Drug-related deaths ""deep dive"" into coroners’ records",0,
Drug-related deaths ,Drug-related deaths and suicide in prison custody ,Drug-related deaths and suicide in prison custody ,0,
Number of people with depression in England,"Estimating the number of people with cardiovascular or respiratory conditions living in poverty, England","Estimating the number of people with cardiovascular or respiratory conditions living in poverty, England",0,
Number of people with anxiety in England,"Estimating the number of people with cardiovascular or respiratory conditions living in poverty, England","Estimating the number of people with cardiovascular or respiratory conditions living in poverty, England",0,
A level results in England 2021,"Religion by highest qualification level, England and Wales: Census 2021","Coronavirus (COVID-19) Infection Survey headline results, UK",what?,
A level results in Scotland 2021,"Overseas travel and tourism, monthly provisional results","Coronavirus (COVID-19) Infection Survey headline results, UK",what?,
A level results in Wales 2021,"Religion by highest qualification level, England and Wales: Census 2021","Coronavirus (COVID-19) Infection Survey headline results, UK",what?,
GCSE results in England 2021,"Deprivation inequalities in the experiences of GCSE students during coronavirus (COVID-19), England","Deprivation inequalities in the experiences of GCSE students during coronavirus (COVID-19), England",0,
GCSE results in Scotland 2021,"Overseas travel and tourism, monthly provisional results","Overseas travel and tourism, monthly provisional results",0,
GCSE results in Wales 2021,"Overseas travel and tourism, monthly provisional results",Deprivation inequalities in the experiences of GCSE students in England during coronavirus (COVID-19) ,1,
Electoral boundaries in England,"Electoral Statistics for England, Wales and Northern Ireland","Electoral Statistics for England, Wales and Northern Ireland",0,
Drug abuse in England,Child abuse in England and Wales,Child abuse in England and Wales,0,
Divorces in England 2021,Divorces in England and Wales,Divorces in England and Wales,0,
Houses bought in England in 2021,"Housing, England and Wales","Housing, England and Wales",0,
Average price of a house in England,House price statistics for small areas in England and Wales,House price statistics for small areas in England and Wales,0,
Real estate statistics 2021,"Electoral statistics, UK","Business demography, quarterly experimental statistics, UK",both miss,
Number of people living in England ,"Estimating the number of people with cardiovascular or respiratory conditions living in poverty, England","Older people living in care homes and changes over time, England and Wales, Census 2021",both miss,
Average salary Manchester 2021,House prices 24 times average salary in Westminster,"Average household income, UK",2,
Average salary London 2021,"GDP, London","Average household income, UK",2,
Average wage in the UK 2021,"Average household income, UK","Average household income, UK",0,
Average cost of living London 2021,"Estimate of the number of males aged 30 to 34 living in concealed families, UK, 2016 and estimate of the number of males aged 35 to 55 living with parents in selected London areas (3 year average)",The rising cost of living and  its impact on individuals in  Great Britain,2,
Average cost of living Manchester 2021,The rising cost of living and  its impact on individuals in  Great Britain,The rising cost of living and  its impact on individuals in  Great Britain,0,
Average IQ in UK,"Average household income, UK","Average household income, UK",0,
GDP per capita,GDP by local authority,Regional gross value added (balanced) per head and income components,2,
Disability benefit numbers in the UK,"Total number of households in the UK that are on an energy pre-payment meter, broken down by unemployment of HRP and in receipt of disability benefits","Total number of households in the UK that are on an energy pre-payment meter, broken down by unemployment of HRP and in receipt of disability benefits",0,
Brain Cancer mortality rate,Incidence and Mortality Counts and Rates for selected cancers for the North West Region,Incidence and Mortality Counts and Rates for selected cancers for the North West Region,0,
Lung Cancer mortality rate,"Number of deaths and age-standardised mortality rates where the underlying cause of death was lung cancer: Yorkshire and the Humber (excluding Leeds), Sheffield, Nottingham, and Newcastle-upon-Tyne, registered 2001 to 2020","Number of deaths and age-standardised mortality rates where the underlying cause of death was lung cancer: Yorkshire and the Humber (excluding Leeds), Sheffield, Nottingham, and Newcastle-upon-Tyne, registered 2001 to 2020",0,
Breast Cancer mortality rate,Incidence of and mortality from breast cancer in England 2004 to 2017,Incidence of and mortality from breast cancer in England 2004 to 2017,0,
Leukemia mortality rate,Winter mortality in England and Wales,Winter mortality in England and Wales,0,
Cancer remission rate,Cancer survival in England,Cancer survival in England,0,
Lyme disease,"Dementia and Alzheimer's disease deaths including comorbidities, England and Wales","Dementia and Alzheimer's disease deaths including comorbidities, England and Wales",0,
chicken pox,"Deaths related to chicken pox, varicella, shingles and herpes zoster","Deaths related to chicken pox, varicella, shingles and herpes zoster",0,
Work related accidents involving alcohol,Work place accidents involving alcohol,Work place accidents involving alcohol,0,
Driving accidents involving alcohol,Driving offences and car accidents due to alcohol,Driving offences and car accidents due to alcohol,0,
Alcohol consumption rate,Analysis based on new alcohol consumption guidelines,Analysis based on new alcohol consumption guidelines,0,
Road traffic mortality rate,Traffic Camera Activity,Traffic Camera Activity,0,
Violent accidents under the influence,"CSEW estimates of violent incidents where the victim believed the offender(s) to be under the influence of alcohol, selected years from the year ending March 2006 to the year ending March 2016","CSEW estimates of violent incidents where the victim believed the offender(s) to be under the influence of alcohol, selected years from the year ending March 2006 to the year ending March 2016",0,
Driving under the influence,Government Deficit and Debt Under the Maastricht Treaty,Pregnancy and ethnic factors influencing births and infant mortality,both miss,
Greenhouse gas emissions ,"Greenhouse gas emissions, UK","Greenhouse gas emissions, UK",0,
Income inequality ,"Household income inequality, UK","Household income inequality, UK",0,
Murder statistics ,"Electoral statistics, UK",Integrated Household Survey (Experimental statistics),both miss,
Gang violence statistics,Nature of crime: violence,Nature of crime: violence,0,
Armed robery statistics ,"UK armed forces veterans, England and Wales",Crime Severity Score (Experimental Statistics),maybe,
Gunshot wounds statistics,"Electoral statistics, UK","Cancer registration statistics, England",both miss,
Burglaries,Nature of crime: burglary,Nature of crime: burglary,0,
Weapon offences ,Offences involving the use of weapons: data tables,Offences involving the use of weapons: data tables,0,
Crime statistics by religion,NS-SEC by religion,"Religion, England and Wales",not sure,
Crime statistics by ethnicity,Crime Severity Score (Experimental Statistics),Crime Severity Score (Experimental Statistics),0,
Religious sects,Annex A: Sexual orientation and religious beliefs,"Rates of deaths involving COVID-19 by religious group, England and Wales",both miss,
Transport statistics,"Electoral statistics, UK","Business demography, quarterly experimental statistics, UK",both miss,
